2017-08-01,"In after hours trading following Apple’s announcement of strong fiscal Q3 results, AAPL stock has jumped to almost $160 as of this writing. It’s hard to know where AAPL will land when the Nasdaq market opens tomorrow morning, but a share price of $ ...",AAPL hits all time high in after hours trading,"https://www.bing.com/cr?IG=FB2E3BE45FC0416B86BA49B45C5134B3&CID=1BA4A0F7FCA160C83FE9ABE2FDFE61C5&rd=1&h=EUZ-CcRrqbm86HifWBisTJ4XhiRtY-vDynCRt0gy7ck&v=1&r=https%3a%2f%2f9to5mac.com%2f2017%2f08%2f01%2faapl-all-time-high%2f&p=DevEx,5013.1"
"So many important events happen in the fall of the year; school starts, football season begins, new television programming is introduced. But, for many, the momentous event is the reveal of the latest Apple iPhone. This year the pundits had a collective ...",An AAPL for Your Thoughts,2016-09-17T15:46:00,"http://www.bing.com/cr?IG=FB2E3BE45FC0416B86BA49B45C5134B3&CID=1BA4A0F7FCA160C83FE9ABE2FDFE61C5&rd=1&h=w_VeAwtDp28urljsan1cgc_ufT1FyBlZiEgP9eR0iY0&v=1&r=http%3a%2f%2fstockcharts.com%2farticles%2fwyckoff%2f2016%2f09%2fan-aapl-for-your-thoughts.html&p=DevEx,5015.1"
2017-07-05T06:41:00,"https://www.bing.com/cr?IG=FB2E3BE45FC0416B86BA49B45C5134B3&CID=1BA4A0F7FCA160C83FE9ABE2FDFE61C5&rd=1&h=F8IP35vNXqYPfeCkR3NGyhQqDQjim5JLG6ZuCjT5374&v=1&r=https%3a%2f%2famigobulls.com%2farticles%2f2017-07-05-aapl-stock-the-feared-death-cross-back-to-haunt-apple-inc&p=DevEx,5017.1","Shares of Cupertino, California-based Apple (NASDAQ:AAPL) had a bad month in June 2017. AAPL stock started the month at a price of $153.17 a share and ended the month at $144.02 a share, a drop of nearly 6% for the month. In comparison, the Nasdaq ...",AAPL Stock: The Feared Death Cross Back To Haunt Apple Inc?
"https://www.bing.com/cr?IG=FB2E3BE45FC0416B86BA49B45C5134B3&CID=1BA4A0F7FCA160C83FE9ABE2FDFE61C5&rd=1&h=veKAQRNswnikJoADEww_MeKoOXwuKdz0A-OEl_zxipc&v=1&r=https%3a%2f%2f9to5mac.com%2f2017%2f08%2f02%2faapl-analysts-q3-2017%2f&p=DevEx,5019.1",2017-08-02T12:08:44,"Business Insider has a round-up of analyst takes, with Macquarie noting growth across categories and expressing optimism about the prospects for AR. We thought AAPL’s 3Q call was one of its most bullish in recent memory. Despite a coming big refresh ...","AAPL’s Q3 call ‘one of the most bullish,’ say analysts, as stock hits $158 in pre-market"
2017-08-23T08:31:00,"Get the Pulse of the Market with StreetInsider.com's Pulse Picks. Get your Free Trial here. New York Times technology reporter Daisuke Wakabayashi outlines Apple's (NASDAQ: AAPL) journey to develop a self-driving car, from past to present, eventually ...","https://www.bing.com/cr?IG=FB2E3BE45FC0416B86BA49B45C5134B3&CID=1BA4A0F7FCA160C83FE9ABE2FDFE61C5&rd=1&h=SlJ_XP-IYzq37cyy31nl73qPDfxYb-j5x2hPWtOXNYI&v=1&r=https%3a%2f%2fwww.streetinsider.com%2fCorporate%2bNews%2fApple%2b%2528AAPL%2529%2bScales%2bDown%2bScope%2bof%2bCar%2bProject%2b-%2bNYT%2f13230192.html&p=DevEx,5021.1",Apple (AAPL) Scales Down Scope of Car Project - NYT
History shows Apple stock will pop between now and iPhone 7's first day on sale,"If history is any guide, Apple stock will go up in the next few days, between Wednesday's official launch event and the actual on-sale date of the new iPhone 7. According to UBS analysts Steven Milunovich and Benjamin Wilson, AAPL obeys a rough pattern ...",2016-09-07T08:51:00,"http://www.bing.com/cr?IG=FB2E3BE45FC0416B86BA49B45C5134B3&CID=1BA4A0F7FCA160C83FE9ABE2FDFE61C5&rd=1&h=kw1smSMqPPnzHivPp3oDbcEK_lnpzQAJhzqIgq6lQoM&v=1&r=http%3a%2f%2fwww.businessinsider.com%2fiphone-7-release-apple-stock-aapl-2016-9&p=DevEx,5023.1"
"Apple (NASDAQ: AAPL) introduced the giant iPad Pro, plus updates to the Apple Watch and software, including the date of the watch's OS 2 software update, and new accessories. The iPad Pro in silver, gold and space gray, the largest iPad yet, was introduced ...",2015-09-09T15:11:00,"Apple (AAPL) Introduces iPhone 6s, Giant iPad Pro, Apple Pencil at 2015 Special Event","http://www.bing.com/cr?IG=FB2E3BE45FC0416B86BA49B45C5134B3&CID=1BA4A0F7FCA160C83FE9ABE2FDFE61C5&rd=1&h=IN_1BrC4MRo09K5K4Axp-TY73iIApcbwcB0ZjCBxG08&v=1&r=http%3a%2f%2fabcnews.go.com%2fBusiness%2fapple-aapl-introduces-giant-ipad-pro-apple-pencil%2fstory%3fid%3d33625475&p=DevEx,5025.1"
2012-09-24,Done with AAPL,"http://www.bing.com/cr?IG=FB2E3BE45FC0416B86BA49B45C5134B3&CID=1BA4A0F7FCA160C83FE9ABE2FDFE61C5&rd=1&h=t0HoaYDfLdSpKKUJ-xC6YbyrpTpcqD9nzfYgHZuB1js&v=1&r=http%3a%2f%2fcaps.fool.com%2fBlogs%2fdone-with-aapl%2f763554&p=DevEx,5027.1","I believe I informed you in my last post that I had sold 1/2 my AAPL stake on the eve of the entire stake achieving a one-bagger, so that, as Cramer says, I was playing with ""house money."" Apple's current P/E, minus cash, is about 16 - on the high end of ..."
Apple (AAPL) Stock: The Secret Smartphone Blueprint,2017-08-17T11:44:00,"Apple’s (NASDAQ:AAPL) original iPhone kicked off a revolution in personal electronic devices — raking in huge profits for its investors and forcing its competitors to innovate. Now history is poised to repeat itself on or around Sept. 8, 2017, when ...","http://www.bing.com/cr?IG=FB2E3BE45FC0416B86BA49B45C5134B3&CID=1BA4A0F7FCA160C83FE9ABE2FDFE61C5&rd=1&h=SsdrUav0jmBuF99k-jNWqCnia0II47eNbK1NZ7pDKBk&v=1&r=http%3a%2f%2fwallstreetpit.com%2f113982-apple-aapl-stock-secret-smartphone-blueprint%2f&p=DevEx,5029.1"
"https://www.bing.com/cr?IG=FB2E3BE45FC0416B86BA49B45C5134B3&CID=1BA4A0F7FCA160C83FE9ABE2FDFE61C5&rd=1&h=BlS_hNUERO8X2rpb5imiTOXHx46gs3kpeCyCCSeM46c&v=1&r=https%3a%2f%2fblogs.computerworld.com%2farticle%2f2921176%2fbusiness-intelligence%2fgreat-r-packages-for-data-import-wrangling-visualization.html&p=DevEx,5031.1","Great R packages for data import, wrangling and visualization",One of the great things about R is the thousands of packages users have written to solve specific problems in various disciplines -- analyzing everything from weather or financial data to the human genome-- not to mention analyzing computer security-breach ...,2017-10-06T10:19:00
